PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,"800 Florida Ave NE, Washington, DC 20002",,,,,,,,,
Location:,"Lat, Lon: 38.89, -76.98",,,,,,,,,
Lat (deg N):,38.89,,,,,,,,,
Long (deg W):,76.98,,,,,,,,,
Elev (m):,22.44000053,,,,,,,,,
DC System Size (kW):,34,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.11,,,,,,,,,
Capacity Factor (%),"15.6	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,8,16,281,29,2,2,122.048,4.642,3392.715,3151.94
1,8,17,0,0,1,1,0,1,0,0
1,8,18,0,0,1,1,0,1,0,0
1,8,19,0,0,1,1,0,1,0,0
1,8,20,0,0,1,1,0,1,0,0
1,8,21,0,0,1,2,0,1,0,0
1,8,22,0,0,2,3,0,2,0,0
1,8,23,0,0,2,3,0,2,0,0
1,9,0,0,0,1,3,0,1,0,0
1,9,1,0,0,1,3,0,1,0,0
1,9,2,0,0,1,3,0,1,0,0
1,9,3,0,0,1,3,0,1,0,0
1,9,4,0,0,1,3,0,1,0,0
1,9,5,0,0,1,4,0,1,0,0
1,9,6,0,0,2,3,0,2,0,0
1,9,7,0,0,3,3,0,3,0,0
1,9,8,585,41,5,3,272.2,9.882,7699.19,7354.845
1,9,9,781,58,8,3,500.83,19.155,14498.699,13949.537
1,9,10,871,65,9,4,665.471,23.193,19314.527,18589.717
1,9,11,915,68,10,3,766.004,28.372,21845.193,21017.914
1,9,12,927,66,10,3,786.594,29.099,22377.564,21527.838
1,9,13,903,64,11,2,725.969,31.129,20382,19614.82
1,9,14,845,58,10,1,592.186,29.957,16515.17,15895.547
1,9,15,724,47,8,1,398.831,21.587,11146.737,10704.863
1,9,16,421,25,6,1,153.314,10.79,4029.627,3774.812
1,9,17,0,0,5,1,0,5,0,0
1,9,18,0,0,5,1,0,5,0,0
1,9,19,0,0,4,1,0,4,0,0
1,9,20,0,0,3,1,0,3,0,0
1,9,21,0,0,3,1,0,3,0,0
1,9,22,0,0,3,1,0,3,0,0
1,9,23,0,0,3,3,0,3,0,0
1,10,0,0,0,3,4,0,3,0,0
1,10,1,0,0,2,4,0,2,0,0
1,10,2,0,0,1,3,0,1,0,0
1,10,3,0,0,1,3,0,1,0,0
1,10,4,0,0,0,3,0,0,0,0
1,10,5,0,0,0,3,0,0,0,0
1,10,6,0,0,0,3,0,0,0,0
1,10,7,0,0,1,3,0,1,0,0
1,10,8,566,44,2,4,271.266,6.377,7814.748,7467.345
1,10,9,103,126,4,4,197.949,7.346,6188.356,5882.656
1,10,10,847,73,5,5,664.361,16.93,19854.455,19108.369
1,10,11,0,90,5,5,85.903,6.346,2729.473,2502.847
1,10,12,0,56,5,5,53.175,4.729,1701.39,1495.744
1,10,13,111,198,4,5,302.069,8.578,9476.521,9083.52
1,10,14,798,73,4,4,587.057,16.053,17491.711,16836.367
1,10,15,693,56,3,3,396.216,12.55,11569.681,11114.946
1,10,16,378,29,1,2,149.026,4.528,4083.194,3827.179
1,10,17,0,0,0,2,0,0,0,0
1,10,18,0,0,0,2,0,0,0,0
1,10,19,0,0,0,2,0,0,0,0
1,10,20,0,0,0,2,0,0,0,0
1,10,21,0,0,0,3,0,0,0,0
1,10,22,0,0,0,4,0,0,0,0
1,10,23,0,0,0,5,0,0,0,0
1,11,0,0,0,-1,5,0,-1,0,0
1,11,1,0,0,-2,5,0,-2,0,0
1,11,2,0,0,-2,4,0,-2,0,0
1,11,3,0,0,-3,4,0,-3,0,0
1,11,4,0,0,-3,3,0,-3,0,0
1,11,5,0,0,-4,3,0,-4,0,0
1,11,6,0,0,-4,3,0,-4,0,0
1,11,7,0,0,-3,3,0,-3,0,0
1,11,8,612,43,-2,4,283.983,2.651,8284.862,7924.866
1,11,9,793,62,-1,4,512.446,9.371,15505.688,14921.896
1,11,10,877,72,0,4,684.011,14.657,20652.283,19874.178
1,11,11,912,77,0,4,782.596,17.193,23518.594,22619.711
1,11,12,917,78,0,4,796.843,17.716,23914.621,22998.346
